project_id,bug_id,mutant_name,class,result
Csv,1,CSVFormat_Mutant_1.java,CSVFormat,survived
Csv,1,CSVFormat_Mutant_10.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_11.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_12.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_13.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_14.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_15.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_16.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_17.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_18.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_19.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_2.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_20.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_21.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_22.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_23.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_24.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_25.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_26.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_27.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_28.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_29.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_3.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_30.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_31.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_32.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_33.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_34.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_35.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_36.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_37.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_38.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_39.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_4.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_40.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_41.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_42.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_43.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_44.java,CSVFormat,build_failed
Csv,1,CSVFormat_Mutant_45.java,CSVFormat,build_failed
Csv,1,CSVFormat_Mutant_46.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_47.java,CSVFormat,survived
Csv,1,CSVFormat_Mutant_48.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_5.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_6.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_7.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_8.java,CSVFormat,killed
Csv,1,CSVFormat_Mutant_9.java,CSVFormat,killed
Csv,1,CSVLexer_Mutant_1.java,CSVLexer,killed
Csv,1,CSVLexer_Mutant_2.java,CSVLexer,timeout
Csv,1,CSVLexer_Mutant_3.java,CSVLexer,killed
Csv,1,CSVLexer_Mutant_4.java,CSVLexer,killed
Csv,1,CSVLexer_Mutant_5.java,CSVLexer,timeout
Csv,1,CSVLexer_Mutant_6.java,CSVLexer,timeout
Csv,1,CSVLexer_Mutant_7.java,CSVLexer,timeout
Csv,1,CSVLexer_Mutant_8.java,CSVLexer,killed
Csv,1,CSVParser_Mutant_1.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_10.java,CSVParser,killed
Csv,1,CSVParser_Mutant_11.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_12.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_13.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_14.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_15.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_16.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_17.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_18.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_19.java,CSVParser,killed
Csv,1,CSVParser_Mutant_2.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_20.java,CSVParser,killed
Csv,1,CSVParser_Mutant_21.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_22.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_23.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_24.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_25.java,CSVParser,killed
Csv,1,CSVParser_Mutant_26.java,CSVParser,killed
Csv,1,CSVParser_Mutant_27.java,CSVParser,killed
Csv,1,CSVParser_Mutant_28.java,CSVParser,killed
Csv,1,CSVParser_Mutant_29.java,CSVParser,survived
Csv,1,CSVParser_Mutant_3.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_30.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_31.java,CSVParser,timeout
Csv,1,CSVParser_Mutant_32.java,CSVParser,killed
Csv,1,CSVParser_Mutant_33.java,CSVParser,killed
Csv,1,CSVParser_Mutant_34.java,CSVParser,killed
Csv,1,CSVParser_Mutant_35.java,CSVParser,killed
Csv,1,CSVParser_Mutant_36.java,CSVParser,killed
Csv,1,CSVParser_Mutant_37.java,CSVParser,killed
Csv,1,CSVParser_Mutant_38.java,CSVParser,killed
Csv,1,CSVParser_Mutant_39.java,CSVParser,survived
Csv,1,CSVParser_Mutant_4.java,CSVParser,build_failed
Csv,1,CSVParser_Mutant_40.java,CSVParser,killed
Csv,1,CSVParser_Mutant_41.java,CSVParser,killed
Csv,1,CSVParser_Mutant_42.java,CSVParser,killed
Csv,1,CSVParser_Mutant_43.java,CSVParser,timeout
Csv,1,CSVParser_Mutant_44.java,CSVParser,timeout
Csv,1,CSVParser_Mutant_5.java,CSVParser,killed
Csv,1,CSVParser_Mutant_6.java,CSVParser,timeout
Csv,1,CSVParser_Mutant_7.java,CSVParser,timeout
Csv,1,CSVParser_Mutant_8.java,CSVParser,timeout
Csv,1,CSVParser_Mutant_9.java,CSVParser,killed
Csv,1,CSVPrinter_Mutant_1.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_10.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_11.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_12.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_13.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_14.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_15.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_16.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_17.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_18.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_19.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_2.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_20.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_21.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_22.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_23.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_24.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_25.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_26.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_27.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_28.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_29.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_3.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_30.java,CSVPrinter,killed
Csv,1,CSVPrinter_Mutant_4.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_5.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_6.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_7.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_8.java,CSVPrinter,survived
Csv,1,CSVPrinter_Mutant_9.java,CSVPrinter,survived
Csv,1,ExtendedBufferedReader_Mutant_1.java,ExtendedBufferedReader,timeout
Csv,1,ExtendedBufferedReader_Mutant_10.java,ExtendedBufferedReader,killed
Csv,1,ExtendedBufferedReader_Mutant_11.java,ExtendedBufferedReader,killed
Csv,1,ExtendedBufferedReader_Mutant_12.java,ExtendedBufferedReader,killed
Csv,1,ExtendedBufferedReader_Mutant_13.java,ExtendedBufferedReader,build_failed
Csv,1,ExtendedBufferedReader_Mutant_14.java,ExtendedBufferedReader,timeout
Csv,1,ExtendedBufferedReader_Mutant_15.java,ExtendedBufferedReader,timeout
Csv,1,ExtendedBufferedReader_Mutant_16.java,ExtendedBufferedReader,killed
Csv,1,ExtendedBufferedReader_Mutant_17.java,ExtendedBufferedReader,killed
Csv,1,ExtendedBufferedReader_Mutant_18.java,ExtendedBufferedReader,killed
Csv,1,ExtendedBufferedReader_Mutant_19.java,ExtendedBufferedReader,killed
Csv,1,ExtendedBufferedReader_Mutant_2.java,ExtendedBufferedReader,survived
Csv,1,ExtendedBufferedReader_Mutant_20.java,ExtendedBufferedReader,killed
Csv,1,ExtendedBufferedReader_Mutant_21.java,ExtendedBufferedReader,killed
